Package_Name	Feature_Code	Feature_Parameter	Value
G3 Essential	AccomClassMappingView		
G3 Essential	ActiveG3LinkedProducts	pacman.agilerates.MaxActiveAgileRates	0
G3 Essential	admin-tools		
G3 Essential	AdvancedPricingConfiguration		0
G3 Essential	AgileRates	pacman.feature.AgileRatesEnabled	0
G3 Essential	AMS	pacman.feature.AnalyticalMarketSegmentEnabled	0
G3 Essential	at-a-glance		
G3 Essential	AttributeAssignmentNonAmsView		
G3 Essential	AttributeAssignmentView		
G3 Essential	BudgetDataView		
G3 Essential	BudgetUserForecastConfigurationView		
G3 Essential	business-analysis		
G3 Essential	BusinessAnalysisDataDetailsView		
G3 Essential	BusinessAnalysisSummaryView		
G3 Essential	ChannelSettingsView		
G3 Essential	client-budget		
G3 Essential	client-limited-data-build		
G3 Essential	client-questionnaire		
G3 Essential	ClientBookingPatternView		
G3 Essential	ClientProjectionsView		
G3 Essential	CompetitorPriceAsOfLastNightlyOptimization		
G3 Essential	CompetitorPriceChange		
G3 Essential	CompetitorSettingsView		
G3 Essential	ConditionStep		
G3 Essential	CONFIGURE		
G3 Essential	CONFIGURE_DECISIONS		
G3 Essential	CONFIGURE_EXTERNAL_DATA		
G3 Essential	CONFIGURE_FORECASTS		
G3 Essential	CONFIGURE_INVENTORY		
G3 Essential	CONFIGURE_PERMISSIONS		
G3 Essential	CONFIGURE_PROPERTY		
G3 Essential	ContinuousPricing	pacman.feature.isContinuousPricingEnabled	1
G3 Essential	corporate-business-views		
G3 Essential	CorporateBusinessView		
G3 Essential	Cost of Walk		
G3 Essential	CostOfWalkView		
G3 Essential	dashboard-summary		
G3 Essential	DASHBOARDS		
G3 Essential	data-extraction-report		
G3 Essential	data-feed		
G3 Essential	dataDetails		
G3 Essential	DataExtractionReport	pacman.feature.MaxAllowedSchedulesForDataExtractionReport	1
G3 Essential	decision-configuration		
G3 Essential	DecisionAsOfLastNightlyOptimization		
G3 Essential	DecisionAsOfLastOptimization		
G3 Essential	DecisionChangeEx		
G3 Essential	DecisionChangeExAsOfLastOptimization		
G3 Essential	DecisionConfiguration	pacman.feature.DecisionConfigurationEnabled	1
G3 Essential	demand-and-wash-management		
G3 Essential	DemandByOccDateAndWashView		
G3 Essential	ExternalSystem		2
G3 Essential	fiscal-calendar		
G3 Essential	ForecastGroupOverrideTableView		
G3 Essential	ForecastGroupView		
G3 Essential	ForecastWindowBDE	pacman.forecasting.forecastWindowBDE	405
G3 Essential	ForecastWindowCDP	pacman.forecasting.forecastWindowCDP	
G3 Essential	FTPDeliveryForReports	pacman.PreProduction.EnableFTPDeliveryForReports	0
G3 Essential	FUNCTION_SPACE		
G3 Essential	FutureDays	pacman.integration.futureDays	405
